date,buy/sell oil,buy/sell futures,storage, cash ,futures position,debt_over_oil,pnl,oil_spot,oil_futures
20050103,-30000,0,460000,1672561.00,0,0,0,42.25244934,40.92640379
20050104,-30000,40000,420000,3415080.20,40000,0,0,44.04385354,42.11562311
20050105,-30000,40000,380000,5119263.73,80000,0,-17840,43.52136379,41.66929509
20050106,-30000,40000,340000,7039224.67,120000,0,111680,45.70261294,43.06827774
20050107,30000,40000,360000,6115809.63,160000,0,-14520,45.02727845,42.94711347
20050110,-30000,0,320000,7893179.90,160000,0,-22720,45.46982356,42.80489739
20050111,-30000,20000,280000,9743837.37,180000,0,36960,45.82034933,43.0361091
20050112,-30000,40000,240000,11672296.18,220000,0,87660,46.51389138,43.52375072
20050113,-30000,40000,200000,13857120.06,260000,0,277200,48.2016009,44.78621804
20050114,-30000,40000,160000,15900210.33,300000,0,122200,48.53332799,45.25802215
20050118,-30000,40000,120000,17927156.99,340000,0,105900,48.53315283,45.61154428
20050119,-30000,40000,80000,19657324.10,380000,0,-158100,47.69878549,45.14586397
20050120,-30000,40000,40000,21392648.35,420000,0,-127680,47.05554451,44.80921988
20050121,10000,40000,40000,21870141.72,460000,0,476700,48.43138145,45.94574286
20050124,10000,0,40000,22044851.33,460000,0,172960,48.76318549,46.32243895
20050125,10000,0,40000,22416454.92,460000,0,369840,49.59724594,47.12778327
20050126,10000,0,40000,22234248.23,460000,0,-184000,48.93387754,46.72762357
20050127,10000,0,40000,22226366.97,460000,0,-9660,48.99390063,46.7067077
20050128,10000,0,40000,21744685.08,460000,0,-483460,47.32518535,45.65387585
20050131,10000,0,40000,22039444.66,460000,0,293020,48.34941511,46.29159098
20050201,10000,0,40000,21941847.81,460000,0,-99360,47.26406937,46.07533335
20050202,10000,0,40000,21767883.16,460000,0,-175720,46.83011085,45.69270455
20050203,10000,0,40000,21711204.59,460000,0,-58420,46.58951814,45.56530501
20050204,10000,0,40000,21747441.49,460000,0,34500,46.61957591,45.6402783
20050207,10000,0,40000,21462601.28,460000,0,-286580,45.41320064,45.01599912
20050208,10000,0,40000,21499738.29,460000,0,35420,45.53356946,45.09297236
20050209,10000,0,40000,21477078.27,460000,0,-24380,45.59379019,45.03974715
20050210,10000,0,40000,21924996.44,460000,0,446200,47.24093771,46.011211
20050211,10000,0,40000,21882130.44,460000,0,-44620,47.30106618,45.91423403
20050214,10000,0,40000,21980021.01,460000,0,96140,47.58234636,46.12359017
20050215,10000,0,40000,21902199.41,460000,0,-79580,47.4016317,45.95041649
20050216,10000,0,40000,22312431.58,460000,0,408480,48.47659119,46.83979466
20050217,10000,0,40000,22238316.58,460000,0,-75900,47.68252339,46.67474839
20050218,10000,0,40000,22546915.64,460000,0,306820,48.4961012,47.34283406
20050222,10000,0,40000,23368439.40,460000,0,819720,51.30708749,49.12935661
20050223,10000,0,40000,23389628.87,460000,0,19320,50.77407729,49.17167206
20050224,10000,0,40000,23605860.04,460000,0,214360,50.89478027,49.63856326
20050225,10000,0,40000,23706648.51,460000,0,98900,51.09590169,49.85384555
20050228,10000,0,40000,23973505.04,460000,0,264960,51.90943685,50.43070555
20050301,10000,0,40000,24079842.92,460000,0,104420,51.83913508,50.65831617
20050302,10000,0,40000,24535329.31,460000,0,453560,53.21589317,51.64605177
20050303,10000,0,40000,24701052.14,460000,0,163760,53.73836658,52.00298362
20050304,10000,0,40000,24771108.22,460000,0,68080,53.9494251,52.15221179
20050307,10000,0,40000,24991129.91,460000,0,218040,54.06073879,52.62689199
20050308,10000,0,40000,25300869.20,460000,0,307740,54.76426344,53.29698519
20050309,10000,0,40000,25420193.27,460000,0,117300,54.94578971,53.55340502
20050310,10000,0,40000,25154506.89,460000,0,-267720,53.70877333,52.96995638
20050311,10000,0,40000,25489559.25,460000,0,333040,54.60295757,53.69523541
20050314,10000,0,40000,25837978.41,460000,0,346380,55.11554646,54.44988655
20050315,10000,0,40000,25977125.45,460000,0,137080,55.22647213,54.74846895
20050316,10000,0,40000,26655863.62,460000,0,676660,56.64287703,56.22260861
20050317,10000,0,40000,26879256.09,460000,0,221260,56.58250464,56.70463986
20050318,10000,0,40000,27263206.43,460000,0,381800,56.90511175,57.53606822
20050321,10000,0,40000,27427307.49,460000,0,161920,56.80451716,57.89021647
20050322,10000,0,40000,27173741.67,460000,0,-255760,56.21158947,57.33306568
20050323,10000,0,40000,26456935.57,460000,0,-718980,50.51005457,55.76673827
20050324,0,0,30000,27099672.12,460000,0,129720,50.47627876,56.0488258
20050329,10000,10000,30000,26438247.39,470000,0,-663320,53.67459164,54.60376585
20050330,0,0,20000,27138652.45,470000,0,158390,53.43700676,54.94066898
20050331,10000,10000,20000,27921680.84,480000,0,781140,54.82117363,56.60660699
20050401,10000,0,20000,28846474.58,480000,0,922560,57.45569696,58.53326031
20050404,10000,0,20000,29027822.30,480000,0,179040,57.1946612,58.90693266
20050405,10000,0,20000,28602944.52,480000,0,-427200,56.21922045,58.0148801
20050406,10000,0,20000,28436272.76,480000,0,-168960,56.02766896,57.66218428
20050407,10000,0,20000,27803987.66,480000,0,-634560,54.27897348,56.3373827
20050408,10000,0,20000,27440451.98,480000,0,-365760,53.48507418,55.57260102
20050411,10000,0,20000,27612567.22,480000,0,169920,53.87615042,55.92739461
20050412,10000,0,20000,27021976.22,480000,0,-592800,52.01687286,54.6897924
20050413,10000,0,20000,26460617.98,480000,0,-563520,50.3703158,53.51277605
20050414,10000,0,20000,26580334.83,480000,0,117600,51.28335373,53.75802161
20050415,10000,0,20000,26325181.26,480000,0,-257280,50.64028297,53.22107572
20050418,10000,0,20000,25988887.27,480000,0,-338400,50.51944875,52.51473715
20050419,10000,0,20000,26884246.38,480000,0,893280,52.44656736,54.3783591
20050420,10000,0,20000,27363517.12,480000,0,477120,52.5970071,55.37415697
20050421,10000,0,20000,27678186.20,480000,0,312480,52.3559603,56.02640388
20050422,10000,0,20000,28135920.46,480000,0,455520,54.55508679,56.97843821
20050425,10000,0,20000,27988891.33,480000,0,-149280,53.73051677,56.66738992
20050426,10000,0,20000,27892730.44,480000,0,-98400,54.36309117,56.46198078
20050427,10000,0,20000,27058801.86,480000,0,-836160,51.7627274,54.71658347
20050428,10000,0,20000,27068166.56,480000,0,7200,51.92268433,54.73118322
20050429,10000,0,20000,26439132.02,480000,0,-631200,49.86550705,53.4134474
20050502,10000,0,20000,26867487.15,480000,0,426240,51.06972499,54.3024236
20050503,10000,0,20000,26328196.55,480000,0,-541440,49.64374941,53.17206859
20050504,10000,0,20000,26552542.80,480000,0,222240,50.27570043,53.63559938
20050505,10000,0,20000,26673707.01,480000,0,119040,50.97839572,53.88423809
20050506,10000,0,20000,26616800.90,480000,0,-59040,51.10845718,53.76096336
20050509,10000,0,20000,26613650.25,480000,0,-5280,52.18317538,53.74984094
20050510,10000,0,20000,26741059.34,480000,0,125280,52.22318949,54.0111931
20050511,10000,0,20000,26242558.62,480000,0,-500640,50.59517835,52.96606236
20050512,10000,0,20000,25736818.03,480000,0,-507840,48.67694841,51.90591838
20050513,10000,0,20000,25789276.97,480000,0,50400,48.80709803,52.01086523
20050516,10000,0,20000,25632940.12,480000,0,-158400,48.74661564,51.68025937
20050517,10000,0,20000,25774190.75,480000,0,139200,49.10773741,51.97044284
20050518,10000,0,20000,25425372.69,480000,0,-350880,47.37947655,51.23830813
20050519,10000,0,20000,25366926.72,480000,0,-60480,47.04803453,51.11174157
20050520,10000,0,20000,25513916.07,480000,0,144960,46.92717529,51.41398384
20050523,10000,0,20000,25644597.18,480000,0,128640,48.74385764,51.68229972
20050524,10000,0,20000,25744088.75,480000,0,97440,49.50676864,51.88558496
20050525,10000,0,20000,26133988.28,480000,0,387840,50.93261163,52.69501002
20050526,10000,0,20000,26238319.00,480000,0,102240,51.15361878,52.90841967
20050527,10000,0,20000,26406018.06,480000,0,165600,51.98702729,53.25419974
20050531,10000,0,20000,26520930.54,480000,0,112800,52.11794746,53.48964211
20050601,10000,0,20000,27755212.22,480000,0,1232160,54.7582399,56.06174186
20050602,10000,0,20000,27618712.64,480000,0,-138720,53.7836274,55.77271544
20050603,10000,0,20000,28291002.13,480000,0,670080,55.18926644,57.17110028
20050606,10000,0,20000,28416625.41,480000,0,123360,54.64652813,57.42874805
20050607,10000,0,20000,28214898.74,480000,0,-204000,53.91302173,57.00392899
20050608,10000,0,20000,27793795.93,480000,0,-423360,52.68740883,56.1203096
20050609,10000,0,20000,28467539.44,480000,0,671520,54.43388846,57.52131335
20050610,10000,0,20000,28119416.84,480000,0,-350400,53.6906818,56.79039029
